sample	group	dataset	n_cells
BIOREP_4787ff2c9a5b4643	NDMM	Matteo_Italy	174
BIOREP_bcc73432cac9e0fe	NDMM	Matteo_Italy	342
BIOREP_70932b35cb59c125	NDMM	Matteo_Italy	141
BIOREP_b31f721f839254d3	NDMM	Matteo_Italy	433
BIOREP_db10a22f32900715	NDMM	Matteo_Italy	592
BIOREP_a0aa8464552e54a4	NDMM	Matteo_Italy	128
BIOREP_c6d8aef109ef4a8e	NBM	inhouse_Harvard_Novartis	247
BIOREP_3cd9eb9bc73eb291	NBM	inhouse_Harvard_Novartis	246
BIOREP_3d2fd94648e6beb1	NBM	inhouse_Harvard_Novartis	313
BIOREP_0acc445119a01922	NBM	inhouse_Harvard_Novartis	186
BIOREP_6fe12920e6b101e2	NBM	NBM_66k	136
BIOREP_9280f1e9570fe15d	NBM	NBM_66k	213
BIOREP_7d97a0ed4d9f8f02	NBM	GSE194122_BMMC	1009
BIOREP_b3f6349293f23780	NBM	GSE194122_BMMC	465
BIOREP_3979107669f70c92	NBM	GSE194122_BMMC	152
BIOREP_abfc4cd4bc795e65	NBM	GSE194122_BMMC	118
BIOREP_ae9562e0c77465c1	NBM	GSE194122_BMMC	149
BIOREP_75235c4527232039	NBM	GSE194122_BMMC	2025
BIOREP_55f0cd10b4687ec4	NBM	GSE194122_BMMC	149
