gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	signed_statistic	significant	direction
A2M	39.395650621639	0.861250843431346	0.240732793018558	3.57762161370741	0.0003467349069836	0.0007959176882895	3.57762161370741	True	higher_in_group_a
A2M-AS1	84.2739316771596	-1.05002644502474	0.15191635363034	-6.911872355624	4.78298148177454e-12	3.60313330411715e-11	-6.911872355624	True	higher_in_group_b
A4GALT	0.298721166028378	0.482962536367304	0.723461998827137	0.667571395802783	0.504407221621025	0.56572178276902	0.667571395802783	False	higher_in_group_a
AATK	0.684966149539383	-0.118960886823216	0.30852145451025	-0.385583838932872	0.699804904059549	0.747095370098101	-0.385583838932872	False	higher_in_group_b
ABALON	1.09706550831799	0.177742908700374	0.231329438733483	0.768354039475075	0.442276877741115	0.504836733887549	0.768354039475075	False	higher_in_group_a
ABCA1	2.39196206627837	1.68834220542228	0.39949646457413	4.22617558636489	2.37696542940952e-05	6.66547648386866e-05	4.22617558636489	True	higher_in_group_a
ABCA10	1.25260510929039	1.72816510245795	0.280272052437434	6.16602721330457	7.0027038172766e-10	3.9422348811515e-09	6.16602721330457	True	higher_in_group_a
ABCA2	30.0413237563481	-0.0063339234625364	0.0845059700368107	-0.07495237862813	0.940252601604622	0.952124477887508	-0.07495237862813	False	higher_in_group_b
ABCA7	17.0106695582819	0.202028379106453	0.0908281538935123	2.22429247371154	0.0261287727570088	0.0420074804296178	2.22429247371154	True	higher_in_group_a
ABCB1	29.3337936955155	0.0488022828546176	0.128374929415659	0.380154311100753	0.703830872183115	0.750046779407873	0.380154311100753	False	higher_in_group_a
ABCB10	11.1919329773365	0.670611289442108	0.13418041479402	4.99783288396864	5.79781963586152e-07	2.1496467824855e-06	4.99783288396864	True	higher_in_group_a
ABCB4	0.336620246345245	0.955332593732321	0.441539817116695	2.16363860448815	0.0304920963181114	0.0480808524217528	2.16363860448815	True	higher_in_group_a
ABCB9	2.12705189759755	0.904943970039091	0.192956350835204	4.6898895326434	2.73352583595705e-06	9.01320062165976e-06	4.6898895326434	True	higher_in_group_a
ABCC3	0.442104821424264	2.16469068121564	0.539388247846825	4.01323293537972	5.9892757621749e-05	0.0001577670265195	4.01323293537972	True	higher_in_group_a
ABCC4	7.43332083513204	1.07703138662403	0.132226503286866	8.14535180051916	3.7818076712604e-16	5.120665815657271e-15	8.14535180051916	True	higher_in_group_a
ABCD2	15.7687833871501	-0.0725156801798799	0.134280333820556	-0.540032021939904	0.589174949139691	0.646163014727389	-0.540032021939904	False	higher_in_group_b
ABCG1	7.39654484396078	0.533820811856738	0.183832652235596	2.90384110420495	0.0036861518646416	0.0070829007262722	2.90384110420495	True	higher_in_group_a
