gene,full_log2FoldChange,full_pvalue,full_padj,eligible_fold_count,estimable_fold_count,direction_consistency_fraction,median_lodo_log2FoldChange,minimum_lodo_log2FoldChange,maximum_lodo_log2FoldChange,lodo_log2FoldChange_iqr,nominal_significant_fold_fraction,fdr_significant_fold_fraction,largest_effect_change_omitted_datasets,conserved,exclusion_reason
AC005695.2,3.3791074169893,2.83837661946762e-07,1.10177945097336e-06,10,9,1.0,3.39859651143742,2.82840231614808,3.6192103273233,0.1929760168445096,1.0,1.0,DISCO_ref,True,
AC005786.3,2.0386832368291,0.0177370602813468,0.0295693301076626,10,8,1.0,2.11490205835912,1.16564609346189,2.23700228770337,0.13110088031960476,0.875,0.875,MMRF_ImmuneAtlas,True,
AC005837.1,-2.85214593921161,2.7880427539293403e-31,1.91237722055706e-29,10,9,1.0,-2.85923837558312,-4.10310951492109,-2.44449918386496,0.14423023362755982,1.0,1.0,DISCO_ref,True,
AC005840.4,-1.21768994844491,3.46694087873912e-05,9.42292116833527e-05,10,9,1.0,-1.22098474524644,-1.8960494619828,-0.874031050509518,0.07728246524776994,1.0,1.0,DISCO_ref,True,
AC005842.1,-1.01552175626775,0.0011904622791827,0.0025064135142889,10,9,1.0,-0.98141226375874,-1.49570721857304,-0.687970184585822,0.1853203842523229,1.0,0.8888888888888888,DISCO_ref,True,
AC005899.6,-1.62339749694283,1.5368622755374e-08,7.26352043733135e-08,10,9,1.0,-1.582307321029,-2.86274020343252,-1.28109769847216,0.10796157412115992,1.0,1.0,DISCO_ref,True,
AC005899.7,-1.16434969113558,6.70001258716068e-05,0.0001746358280843,10,9,1.0,-1.16239416884444,-2.1344013792194,-0.816325925036547,0.06717706935306,1.0,1.0,DISCO_ref,True,
AC006027.1,-1.3786522704501,7.61355991081622e-06,2.3088707280445e-05,10,8,1.0,-1.3963018852782398,-1.76907195754579,-1.07446155248171,0.04966150025685501,1.0,1.0,DISCO_ref,True,
AC006064.2,-0.945822880804167,7.70065921449656e-05,0.0001985338105102,10,10,1.0,-0.936090005260661,-1.48180390515877,-0.0487044910465199,0.17769934748594174,0.9,0.9,MMRF_ImmuneAtlas,True,
AC007032.1,-2.18046334371503,5.58208327330929e-19,1.09396240991584e-17,10,9,1.0,-2.18826273605523,-3.05138072508878,-1.75037495871188,0.2175475427934197,1.0,1.0,DISCO_ref,True,
AC007193.1,-3.8095683999954,6.23904703990777e-38,8.339526210010049e-36,10,9,1.0,-3.84248688788267,-4.00383453606809,-3.51109729791463,0.06399398000577028,1.0,1.0,NBM_66k,True,
AC007216.4,1.80326305641454,1.67506040307219e-10,1.03338341789531e-09,10,10,1.0,1.892189784755495,0.163686066387058,2.1855905863105,0.1932741263726101,0.9,0.9,MMRF_ImmuneAtlas,True,
AC007292.2,-0.740165023371495,0.0268325102641483,0.042960035628687,10,8,1.0,-0.7405371196579651,-1.26636594138589,-0.449792307558293,0.06890928320123202,0.75,0.5,DISCO_ref,True,
AC007365.1,-1.63314170707955,5.73551083989159e-09,2.87216311319451e-08,10,9,1.0,-1.62830293300207,-1.99035917084537,-1.24576600816495,0.05975784401628004,1.0,1.0,NBM_66k,True,
AC007383.2,-0.459153077031365,0.0261970684309484,0.0420848436765899,10,10,1.0,-0.464117178183092,-1.55978876875925,-0.151173947311781,0.44488308662095005,0.6,0.6,MMRF_ImmuneAtlas,True,
AC007384.1,-0.457699145254151,0.0043774613353691,0.0082770061448237,10,10,1.0,-0.4505202057554855,-1.1432523748397,-0.223405514787519,0.23696531974657276,0.7,0.6,GSE194122_BMMC,True,
