resource_name	resource_provider	resource_resolution_mode	organism	confidence_levels	raw_row_count	post_confidence_row_count	normalized_edge_count	unique_tf_count	unique_target_count	exact_duplicate_rows_removed	same_weight_duplicate_edges_collapsed	conflicting_signed_edge_policy	resolved_resource_table_hash
DoRothEA	caller_supplied_local	caller_supplied_local	human	A;B;C	13223	13223	13223	271	5321	0	0	fail_validation	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76
CollecTRI	caller_supplied_local	caller_supplied_local	human		42601	42601	42601	1178	6628	0	0	fail_validation	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
