database	program_id	eligible_gene_count	resource_target_overlap	resource_target_coverage_fraction	number_of_estimable_tfs	number_of_nonestimable_tfs
CollecTRI	GZMB CD8 T cell:NBM-NDMM	2395	810	0.33820459290187893	342	836
DoRothEA	GZMB CD8 T cell:NBM-NDMM	2395	714	0.29812108559498957	163	108
