program_id	feature_set_id	cell_state	condition_a	condition_b	contrast	contrast_direction	feature_direction	statistic_orientation	signed_statistic_name	source_capability_id	source_cache_key	database	organism	tf	number_of_eligible_genes	total_regulon_target_count	number_of_overlapping_targets	number_of_unique_signed_target_weights	target_weight_variance	model_predictor_weight_variance	degrees_of_freedom	estimable	estimability_status	exclusion_reason	overlapping_target_genes	resource_hash
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	LEF1	2395	119	21	2	0.64761904761904776	0.0087424546055465732	2393	True	estimable		APP;BGLAP;BIRC5;CCND1;CD1D;CDH1;CDKN1A;COL1A1;CTNNB1;DLL1;EDA;ELANE;FN1;MYB;MYC;NT5E;PAX5;PRKN;PTGS2;RUNX2;TCF4	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	LHX1	2395	6	0	0	0	0	2393	False	not_estimable	fewer_than_minimum_overlapping_targets;zero_variance_signed_weight_predictor		549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	LHX2	2395	41	3	1	0	0.0012515631458604758	2393	False	not_estimable	fewer_than_minimum_overlapping_targets	BTBD3;CDH1;ITGAX	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	LHX3	2395	13	0	0	0	0	2393	False	not_estimable	fewer_than_minimum_overlapping_targets;zero_variance_signed_weight_predictor		549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	LHX4	2395	6	0	0	0	0	2393	False	not_estimable	fewer_than_minimum_overlapping_targets;zero_variance_signed_weight_predictor		549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	LHX5	2395	1	0	0	0	0	2393	False	not_estimable	fewer_than_minimum_overlapping_targets;zero_variance_signed_weight_predictor		549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	LHX6	2395	1	0	0	0	0	2393	False	not_estimable	fewer_than_minimum_overlapping_targets;zero_variance_signed_weight_predictor		549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	LHX8	2395	12	2	1	0	0.00083472424973358918	2393	False	not_estimable	fewer_than_minimum_overlapping_targets	DUSP1;IL2RA	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	LHX9	2395	3	0	0	0	0	2393	False	not_estimable	fewer_than_minimum_overlapping_targets;zero_variance_signed_weight_predictor		549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	LIMD1	2395	1	0	0	0	0	2393	False	not_estimable	fewer_than_minimum_overlapping_targets;zero_variance_signed_weight_predictor		549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	CollecTRI	human	LIN28A	2395	2	1	1	0	0.00041753653444676412	2393	False	not_estimable	fewer_than_minimum_overlapping_targets	CCND1	549994e1222127f5486dc5c0c871f782bbbcbb7fc97d07f9f840021101f66bd8
