program_id	feature_set_id	cell_state	condition_a	condition_b	contrast	contrast_direction	feature_direction	statistic_orientation	signed_statistic_name	source_capability_id	source_cache_key	database	organism	tf	number_of_eligible_genes	total_regulon_target_count	number_of_overlapping_targets	number_of_unique_signed_target_weights	target_weight_variance	model_predictor_weight_variance	degrees_of_freedom	estimable	estimability_status	exclusion_reason	overlapping_target_genes	resource_hash	activity_score	fitted_coefficient	coefficient_standard_error	p_value	correlation	model_statistic_name	ulm_implementation_mode	adjusted_p_value	significant	activity_direction
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	NR2F6	2395	32	5	1	0	0.0020841944806344321	2393	True	estimable		AFF1;ARID5B;OSBPL10;PLCB1;RAB31	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	-0.87099165545750112	-0.66549260055207893	0.76406311860992426	0.38384607694129125	-0.017802205748161826	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.6384378626676579	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	RELA	2395	144	28	2	0.39682539682539686	0.011611492196043346	2393	True	estimable		BIRC5;CCL3;CCND1;CD40;CD69;CD74;CD83;CD86;CDK6;CDKN1A;COL1A1;FCGRT;FN1;GSTP1;IER3;IL10;IL18;IL2RA;MAT2A;MYC;NFKBIA;PLAUR;PTGS2;PTPN13;TIMP1;TNF;TRAF1;VCAM1	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	0.89366829939361747	0.28928576446201598	0.3237059708376202	0.37158925701774492	0.018265541191410682	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.6384378626676579	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	TBP	2395	46	9	1	0	0.0037452713202630805	2393	True	estimable		ACTB;ANXA2;APP;BSG;CDKN1A;FN1;IL10;MYC;RUNX1	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	0.8737752598910753	0.49803058950884416	0.56997561314671297	0.38232833175542824	0.017859081745216394	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.6384378626676579	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	MEF2C	2395	73	19	1	0	0.0078735460781389766	2393	True	estimable		ANK3;ARHGAP24;CDK14;CPT1B;EBF1;ENTPD1;ERC1;ETS1;FCHSD2;HDAC9;JUN;KLF2;LIMS1;NCALD;NEDD9;PRKCH;SIPA1L1;TCF4;TMSB4X	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	0.85684026225208088	0.33683348160762305	0.39311117421385511	0.39161896675328323	0.017513054748233781	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.64478678364429454	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	CTCFL	2395	54	8	1	0	0.0033305253390958265	2393	True	estimable		ACTB;COL13A1;CRIP2;EXD3;INKA2;MAST1;PPM1F;SVIL	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	0.83561638957121698	0.50507330211370949	0.6044320197846762	0.40345416801355072	0.017079385768541986	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.65763029386208771	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	KLF5	2395	82	9	1	0	0.00374527132026308	2393	True	estimable		AMN;ANXA2;BAIAP2L1;BIRC5;CD9;ESRP2;RBM47;SH2D3A;TJP3	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	0.81683652201975832	0.4655862589696379	0.5699870738130095	0.41410316731709029	0.016695647282606505	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.66830511161074968	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	BACH2	2395	51	15	1	0	0.006226422004907888	2393	True	estimable		EGLN3;ETS1;FOXO3;GSTP1;IFRD1;JMJD1C;LRRK2;MGAT5;OSBPL10;SLC7A7;SWAP70;TCF4;TMSB4X;TNFSF9;ZHX2	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	0.80823541151378619	0.35729465190140541	0.44206755459057362	0.41903541451978643	0.016519893989045475	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.66963502516397233	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	PPARA	2395	32	6	2	0.66666666666666663	0.0025034751108808911	2393	True	estimable		CCND1;CD36;MYC;NFKBIA;PTGS2;TUBA1B	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	0.78938771345289871	0.55033783678185011	0.69717051254141127	0.42996363939919124	0.016134758736302515	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.67388531944296315	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	TBX21	2395	77	15	1	0	0.006226422004907888	2393	True	estimable		ANK3;CHN2;EBF1;EVL;GAS7;GRAP2;IL12RB2;IL1R1;INPP5D;MTSS1;RASGRP1;RHOH;TCF7;TIAM1;TOX2	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	0.79075932811449212	0.34957108294963241	0.44207013502219333	0.42916280813878394	0.016162786655864392	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.67388531944296315	False	not_significant
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	DoRothEA	human	HNF1B	2395	40	7	1	0	0.0029154305387686331	2393	True	estimable		ADGRV1;AKR1C3;ARHGAP24;ARHGEF28;CEMIP2;CNKSR3;EPS8	2e9de16bb6dc217df06bc044e75103eb9cbf46844ba9ae64ba298996355f4f76	0.74658770845765376	0.48233202589619195	0.64604870992669128	0.45538581071411544	0.015260153874525418	slope_t_statistic	documented_decoupler_v2_ulm_formula	0.69371857146168991	False	not_significant
