program_id	feature_set_id	cell_state	condition_a	condition_b	contrast	contrast_direction	feature_direction	statistic_orientation	signed_statistic_name	tf	source_capability_id	source_cache_key	number_of_estimable_resources	estimable_resources	number_of_significant_supporting_resources	supporting_resources	resource_activity_scores	resource_directions	minimum_adjusted_p_value	median_consensus_activity_score	mean_consensus_activity_score	minimum_absolute_supporting_score	strongest_absolute_activity_score	consensus_direction	directional_consensus_status	consensus_threshold_used	directional_discordance_status	any_resource_discordance_status	resource_discordance_reasons
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	GATA1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	1	CollecTRI	"{""CollecTRI"":3.1083929921970066,""DoRothEA"":2.0986535230137737}"	"{""CollecTRI"":""increased"",""DoRothEA"":""not_significant""}"	0.079800470792351516	3.1083929921970066	3.1083929921970066	3.1083929921970066	3.1083929921970066	unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;single_resource_significant_support
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	TAL1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	1	CollecTRI	"{""CollecTRI"":3.00508806696517,""DoRothEA"":1.5484529995318599}"	"{""CollecTRI"":""increased"",""DoRothEA"":""not_significant""}"	0.079800470792351516	3.0050880669651701	3.0050880669651701	3.0050880669651701	3.0050880669651701	unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;single_resource_significant_support
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	SSRP1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	1	CollecTRI	1	CollecTRI	"{""CollecTRI"":2.907327622058349}"	"{""CollecTRI"":""increased""}"	0.096782063793959358	2.9073276220583488	2.9073276220583488	2.9073276220583488	2.9073276220583488	unresolved	False	2	False	True	single_resource_significant_support
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	TFDP1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.811859338576568,""DoRothEA"":2.0745544642059413}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.12130608892216367					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	ETS1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.765944951366882,""DoRothEA"":1.9239038087899936}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.1222520728009558					unresolved	False	2	False	True	inconsistent_target_overlap
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	MYC	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.7697164010847417,""DoRothEA"":1.7271232591702135}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.1222520728009558					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	AR	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.6797770366133893,""DoRothEA"":-0.21150088617422946}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.13351684755150997					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	FOS	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.682769606647552,""DoRothEA"":1.089884678640251}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.13351684755150997					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	HIF1A	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.680625727096565,""DoRothEA"":2.22442983498792}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.13351684755150997					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	CREB1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.6548272817059084,""DoRothEA"":1.107741369791361}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.13658593621928661					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference
